Altium Designer Pick and Place Locations
C:\Users\s-fre\Github\wulpus\hw\wulpus_acquisition_pcb\Project Outputs for wulpus_acq_pcb\Pick Place\Pick Place for PCB1(Fabrication_ready).txt

========================================================================================================================
File Design Information:

Date:       17.01.25
Time:       17:41
Revision:   5cd4fb9cbb34e9d9febb728bbc69f99c0eff6a20
Variant:    Fabrication_ready
Units used: mm

Designator Comment                     Layer       Footprint                                                  Center-X(mm) Center-Y(mm) Rotation Description                                                                                                                                                    
U1         TLV62569PDRLR               TopLayer    TLV62569PDRLR                                              21.1800      20.7250      0        "2.5V-5.5V input, 2-A high efficiency step-down buck converter in SOT23 and SOT563 package 6-SOT-5X3 -40 to 125"                                               
R38        RC0603FR-072ML              TopLayer    RESC1608X55X30LL15T15                                      39.1250      12.7500      90       ""                                                                                                                                                             
R37        RC0603FR-072ML              TopLayer    RESC1608X55X30LL15T15                                      37.9000      12.7500      270      ""                                                                                                                                                             
R36        RC0603FR-0724K9L            TopLayer    FP-RC_L0603-MFG                                            41.6000      13.1000      270      "RES SMD 24.9K OHM 1% 1/10W 0603"                                                                                                                              
R35        CR0402-J/-000GLF            TopLayer    FP-CR0402-IPC_B                                            44.9750      11.9500      90       "Thick Film Chip Resistors 0402 0O 0.0625W 5%"                                                                                                                 
R34        RC0402JR-070RL              TopLayer    RESC1005X40X25NL05T10                                      29.6500      17.5500      90       ""                                                                                                                                                             
R31        RC0603FR-071K82L            TopLayer    RESC1608X55X25ML10T15                                      42.7000      7.7000       0        ""                                                                                                                                                             
R30        RC0603FR-07806RL            TopLayer    RESC1608X55X25LL10T15                                      40.0250      7.6000       180      ""                                                                                                                                                             
R28        RC0402JR-0722RL             BottomLayer RESC1005X40X25NL05T10                                      38.6750      9.4000       90       ""                                                                                                                                                             
R27        CPF0402B324RE1              TopLayer    RESC1005X35X20ML05T10                                      26.3500      13.9750      180      ""                                                                                                                                                             
R25        CRCW04021M00FKED            TopLayer    FP-CRCW0402-e3-MFG                                         41.0500      16.4000      180      "RES Thick Film, 1MO, 1%, 0.063W, 100ppm/°C, 0402"                                                                                                             
R24        CRCW04021M00FKED            TopLayer    FP-CRCW0402-e3-MFG                                         40.5500      15.5500      0        "RES Thick Film, 1MO, 1%, 0.063W, 100ppm/°C, 0402"                                                                                                             
R23        CPF0402B324RE1              TopLayer    RESC1005X35X20ML05T10                                      9.2500       3.5000       90       ""                                                                                                                                                             
R20        CR0402-JW-105GLF            TopLayer    FP-CR0402-MFG                                              6.8375       13.2250      180      "Thick Film Chip Resistors 0402 1MO 0.0625W 5% 200ppm/°C"                                                                                                      
R19        CR0402-JW-105GLF            TopLayer    FP-CR0402-MFG                                              4.7875       14.0000      0        "Thick Film Chip Resistors 0402 1MO 0.0625W 5% 200ppm/°C"                                                                                                      
R18        CSRF0402FT10L0              TopLayer    FP-CSRF0402-high-IPC_A                                     7.6750       20.7250      0        "RES 0.01 OHM 1% 1/8W 0402"                                                                                                                                    
R17        TNPW040210K0BEED            TopLayer    FP-TNPW0402-e3-MFG                                         6.2750       21.0500      270      "RES 10K OHM 0.1% 1/10W 0402"                                                                                                                                  
R16        TNPW040210K0BEED            TopLayer    FP-TNPW0402-e3-MFG                                         5.4000       21.0750      90       "RES 10K OHM 0.1% 1/10W 0402"                                                                                                                                  
R14        RC0402FR-0711K5L            BottomLayer RESC1005X40X25ML05T10                                      15.6750      21.3500      90       ""                                                                                                                                                             
R12        CRCW0402267KFKED            BottomLayer RESC1005X40X25LL05T05                                      17.8250      21.4500      90       ""                                                                                                                                                             
R13        ERJ-2BWFR100X               TopLayer    FP-CSR0402-MFG                                             11.8000      7.8750       0        "RES 0.1 OHM 1% 1/4W 0402"                                                                                                                                     
R11        ERJ-2BWFR100X               TopLayer    FP-CSR0402-MFG                                             24.7500      6.9250       0        "RES 0.1 OHM 1% 1/4W 0402"                                                                                                                                     
R10        ERJ-2BWFR100X               TopLayer    FP-CSR0402-MFG                                             19.0750      16.2000      270      "RES 0.1 OHM 1% 1/4W 0402"                                                                                                                                     
R9         ERJ-2BWFR100X               TopLayer    FP-CSR0402-MFG                                             15.5000      21.3250      0        "RES 0.1 OHM 1% 1/4W 0402"                                                                                                                                     
R7         RMCF0402FT100K              TopLayer    RESC1005X40X25LL10T15                                      20.0750      22.2750      0        "Chip Resistor, 100 KOhm, +/- 1%, 63 mW, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel"                                                             
R6         ERJ-2BWFR100X               TopLayer    FP-CSR0402-MFG                                             17.4750      21.2500      0        "RES 0.1 OHM 1% 1/4W 0402"                                                                                                                                     
R4         RC0402FR-07453KL            TopLayer    RESC1005X40X25NL05T10                                      21.7000      22.2750      0        ""                                                                                                                                                             
R5         ERJ-2BWFR100X               BottomLayer FP-CSR0402-MFG                                             6.6000       19.5500      0        "RES 0.1 OHM 1% 1/4W 0402"                                                                                                                                     
R1         ERJ-2BWFR100X               BottomLayer FP-CSR0402-MFG                                             3.8750       21.9750      90       "RES 0.1 OHM 1% 1/4W 0402"                                                                                                                                     
PJ1        5051100892                  TopLayer    MOLEX_5051100892                                           32.9750      4.0250       180      ""                                                                                                                                                             
